Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Czechia,CZE,EURO,01/06/2024,Jun-24,0,0
Czechia,CZE,EURO,01/07/2024,Jul-24,0,0
Czechia,CZE,EURO,01/08/2024,Aug-24,3,0
Czechia,CZE,EURO,01/09/2024,Sep-24,2,0
Czechia,CZE,EURO,01/10/2024,Oct-24,3,0
Côte d’Ivoire,CIV,AFRO,01/06/2024,Jun-24,0,0
Côte d’Ivoire,CIV,AFRO,01/07/2024,Jul-24,9,0
Côte d’Ivoire,CIV,AFRO,01/08/2024,Aug-24,34,1
Côte d’Ivoire,CIV,AFRO,01/09/2024,Sep-24,29,0
Côte d’Ivoire,CIV,AFRO,01/10/2024,Oct-24,19,0
Democratic Republic of the Congo,COD,AFRO,01/11/2023,Nov-23,125,0
Democratic Republic of the Congo,COD,AFRO,01/12/2023,Dec-23,74,0
Democratic Republic of the Congo,COD,AFRO,01/01/2024,Jan-24,322,1
Democratic Republic of the Congo,COD,AFRO,01/02/2024,Feb-24,289,0
Democratic Republic of the Congo,COD,AFRO,01/03/2024,Mar-24,372,1
Democratic Republic of the Congo,COD,AFRO,01/04/2024,Apr-24,536,4
Democratic Republic of the Congo,COD,AFRO,01/05/2024,May-24,768,5
Democratic Republic of the Congo,COD,AFRO,01/06/2024,Jun-24,1187,9
Democratic Republic of the Congo,COD,AFRO,01/07/2024,Jul-24,1391,5
Democratic Republic of the Congo,COD,AFRO,01/08/2024,Aug-24,1305,2
Democratic Republic of the Congo,COD,AFRO,01/09/2024,Sep-24,1744,11
Democratic Republic of the Congo,COD,AFRO,01/10/2024,Oct-24,1306,5
Denmark,DNK,EURO,01/11/2023,Nov-23,0,0
Denmark,DNK,EURO,01/12/2023,Dec-23,0,0
Denmark,DNK,EURO,01/01/2024,Jan-24,0,0
Denmark,DNK,EURO,01/02/2024,Feb-24,0,0
Denmark,DNK,EURO,01/03/2024,Mar-24,0,0
Denmark,DNK,EURO,01/04/2024,Apr-24,0,0
Denmark,DNK,EURO,01/05/2024,May-24,0,0
Denmark,DNK,EURO,01/06/2024,Jun-24,0,0
Denmark,DNK,EURO,01/07/2024,Jul-24,5,0
Denmark,DNK,EURO,01/08/2024,Aug-24,1,0
